path,fire,smoke
train/images/AoF05716.jpg,1,0
train/images/AoF01289.jpg,0,0
train/images/PublicDataset00013.jpg,0,1
train/images/WEB06540.jpg,1,0
train/images/AoF01482.jpg,0,0
train/images/AoF00995.jpg,0,0
train/images/WEB07498.jpg,1,0
train/images/AoF05318.jpg,1,0
train/images/AoF04611.jpg,0,1
train/images/WEB02757.jpg,0,0
train/images/AoF04253.jpg,1,1
train/images/WEB00589.jpg,0,0
train/images/WEB07494.jpg,1,1
train/images/WEB05585.jpg,1,1
train/images/AoF04148.jpg,1,1
train/images/WEB03021.jpg,0,0
train/images/PublicDataset00510.jpg,1,0
train/images/AoF06074.jpg,1,0
train/images/AoF02991.jpg,0,0
train/images/AoF06355.jpg,1,0
train/images/WEB03031.jpg,0,0
train/images/AoF04998.jpg,1,1
train/images/PublicDataset00043.jpg,0,1
train/images/WEB05566.jpg,1,1
train/images/WEB06636.jpg,1,0
train/images/WEB07457.jpg,1,0
train/images/PublicDataset00229.jpg,1,0
train/images/WEB04980.jpg,1,1
train/images/AoF02788.jpg,0,0
train/images/WEB09133.jpg,1,0
train/images/AoF02824.jpg,0,0
train/images/AoF04849.jpg,1,1
train/images/WEB05648.jpg,1,1
train/images/PublicDataset01010.jpg,1,1
train/images/WEB09014.jpg,1,0
train/images/PublicDataset00799.jpg,1,0
train/images/AoF00880.jpg,0,0
train/images/AoF01409.jpg,0,0
train/images/WEB06888.jpg,1,0
train/images/WEB09342.jpg,1,0
train/images/WEB02332.jpg,0,0
train/images/AoF03832.jpg,0,0
train/images/WEB09298.jpg,1,0
train/images/AoF02494.jpg,0,0
train/images/WEB02477.jpg,0,0
train/images/WEB01346.jpg,0,0
train/images/AoF03995.jpg,0,0
train/images/WEB07080.jpg,1,0
train/images/AoF03370.jpg,0,0
train/images/WEB06318.jpg,1,0
train/images/AoF01508.jpg,0,0
train/images/WEB01021.jpg,0,0
train/images/WEB06010.jpg,1,0
train/images/WEB00520.jpg,0,0
train/images/AoF03627.jpg,0,0
train/images/WEB01890.jpg,0,0
train/images/AoF01534.jpg,0,0
train/images/AoF04279.jpg,1,1
train/images/AoF01372.jpg,0,0
train/images/WEB08119.jpg,1,1
train/images/AoF02486.jpg,0,0
train/images/WEB01726.jpg,0,0
train/images/WEB04399.jpg,1,1
train/images/AoF00586.jpg,0,0
train/images/WEB04274.jpg,1,1
train/images/AoF06490.jpg,1,0
train/images/AoF02629.jpg,0,0
train/images/AoF00292.jpg,0,0
train/images/WEB04067.jpg,1,1
train/images/AoF01521.jpg,0,0
train/images/WEB04013.jpg,0,1
train/images/WEB00935.jpg,0,0
train/images/AoF05360.jpg,1,0
train/images/AoF06424.jpg,1,0
train/images/WEB08026.jpg,1,0
train/images/WEB05779.jpg,1,1
train/images/WEB08791.jpg,1,1
train/images/WEB07149.jpg,1,1
train/images/WEB06213.jpg,1,0
train/images/WEB02791.jpg,0,0
train/images/AoF05141.jpg,1,0
train/images/WEB00167.jpg,0,0
train/images/WEB05287.jpg,1,1
train/images/WEB02378.jpg,0,0
train/images/AoF00183.jpg,0,0
train/images/WEB02524.jpg,0,0
train/images/WEB01027.jpg,0,0
train/images/WEB03137.jpg,0,0
train/images/WEB01665.jpg,0,0
train/images/AoF03106.jpg,0,0
train/images/WEB07166.jpg,1,0
train/images/PublicDataset00754.jpg,1,0
train/images/WEB07681.jpg,1,0
train/images/AoF06444.jpg,1,0
train/images/WEB00479.jpg,0,0
train/images/AoF02375.jpg,0,0
train/images/AoF05479.jpg,1,0
train/images/WEB01658.jpg,0,0
train/images/AoF00754.jpg,0,0
train/images/WEB05140.jpg,1,1
train/images/AoF02681.jpg,0,0
